['Z6', '南宁', '北京西', '桂林北', '北京西', '', '', '', '', '¥629.0', '¥629.0', '¥399.0', '', '¥236.0', '¥236.0']
['Z6', '南宁', '北京西', '衡阳', '长沙', '', '', '', '', '¥113.5', '¥113.5', '¥74.5', '', '¥28.5', '¥28.5']
['Z6', '南宁', '北京西', '衡阳', '武昌', '', '', '', '', '¥205.0', '¥205.0', '¥133.0', '', '¥75.0', '¥75.0']
['Z6', '南宁', '北京西', '衡阳', '郑州', '', '', '', '', '¥372.5', '¥372.5', '¥238.5', '', '¥138.5', '¥138.5']
['Z6', '南宁', '北京西', '衡阳', '石家庄', '', '', '', '', '¥476.5', '¥476.5', '¥304.5', '', '¥177.5', '¥177.5']
['Z6', '南宁', '北京西', '衡阳', '北京西', '', '', '', '', '¥542.0', '¥542.0', '¥343.0', '', '¥201.0', '¥201.0']
['Z6', '南宁', '北京西', '长沙', '武昌', '', '', '', '', '¥152.5', '¥152.5', '¥99.5', '', '¥53.5', '¥53.5']
['Z6', '南宁', '北京西', '长沙', '郑州', '', '', '', '', '¥312.0', '¥312.0', '¥200.0', '', '¥115.0', '¥115.0']
['Z6', '南宁', '北京西', '长沙', '石家庄', '', '', '', '', '¥438.5', '¥438.5', '¥280.5', '', '¥163.5', '¥163.5']
['Z6', '南宁', '北京西', '长沙', '北京西', '', '', '', '', '¥504.5', '¥504.5', '¥322.5', '', '¥189.5', '¥189.5']
['Z6', '南宁', '北京西', '武昌', '郑州', '', '', '', '', '¥205.0', '¥205.0', '¥133.0', '', '¥75.0', '¥75.0']
['Z6', '南宁', '北京西', '武昌', '石家庄', '', '', '', '', '¥336.0', '¥336.0', '¥215.0', '', '¥124.0', '¥124.0']
['Z6', '南宁', '北京西', '武昌', '北京西', '', '', '', '', '¥409.5', '¥409.5', '¥261.5', '', '¥152.5', '¥152.5']
['Z6', '南宁', '北京西', '郑州', '石家庄', '', '', '', '', '¥166.5', '¥166.5', '¥110.5', '', '¥62.5', '¥62.5']
